               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.046182,            0.072066,            0.016997,             0.67167,             0.59439,             0.68153,             0.45138,            0.041297,            0.037807,            0.010552,              0.0937,              0.0007,              0.0007
                   1,            0.046183,            0.068723,            0.018097,              0.7471,             0.63596,             0.72748,             0.48102,            0.040594,            0.036902,           0.0090065,            0.086495,            0.001495,            0.001495
                   2,            0.043595,            0.064185,            0.016432,             0.75003,             0.66372,             0.75311,             0.49183,            0.040252,            0.036193,           0.0081739,            0.079285,           0.0022848,           0.0022848
                   3,            0.044143,            0.061877,            0.015793,             0.80628,             0.65228,             0.77484,             0.49879,            0.040052,            0.035317,           0.0073891,            0.072069,           0.0030693,           0.0030693
                   4,            0.044359,            0.063505,            0.014889,             0.71637,             0.69304,             0.77283,             0.48405,            0.042121,            0.035129,           0.0069752,            0.064849,           0.0038485,           0.0038485
                   5,            0.043403,            0.060593,            0.013105,              0.6706,             0.74468,             0.78462,             0.49268,             0.04313,            0.034286,           0.0065095,            0.057622,           0.0046225,           0.0046225
                   6,            0.045693,             0.05416,            0.011568,             0.71713,             0.69445,             0.76263,             0.48119,            0.043964,            0.033285,           0.0060625,            0.050391,           0.0053911,           0.0053911
                   7,            0.045161,            0.054991,            0.010684,             0.76144,             0.65495,             0.76755,              0.4644,             0.04561,             0.03276,           0.0056682,            0.043154,           0.0061545,           0.0061545
                   8,            0.049188,            0.054744,            0.010267,              0.7503,             0.73485,             0.80569,             0.48174,            0.045184,            0.031694,           0.0051169,            0.035913,           0.0069126,           0.0069126
                   9,            0.049644,            0.054559,            0.011611,             0.77705,             0.72561,             0.80276,             0.49101,            0.045141,            0.031089,           0.0048155,            0.028665,           0.0076654,           0.0076654
                  10,            0.046747,            0.055254,            0.011675,             0.77278,             0.72236,             0.79339,             0.50556,            0.045289,            0.030716,           0.0047729,            0.021413,           0.0084129,           0.0084129
                  11,            0.051343,            0.055327,            0.011034,             0.83753,             0.74389,             0.82051,             0.50823,            0.045876,            0.029988,           0.0046208,            0.014155,           0.0091552,           0.0091552
                  12,             0.04876,            0.053025,            0.011354,             0.79437,             0.76891,             0.81257,             0.51187,             0.04623,            0.029726,           0.0045688,            0.009604,            0.009604,            0.009604
                  13,            0.046233,            0.050726,            0.012324,             0.75077,             0.76365,             0.80267,              0.4951,            0.045483,            0.031134,           0.0049448,            0.009604,            0.009604,            0.009604
                  14,            0.048763,            0.055816,            0.011474,             0.75155,             0.69524,             0.76741,             0.48279,            0.044511,            0.032975,           0.0062279,            0.009571,            0.009571,            0.009571
                  15,            0.048509,            0.053574,            0.010548,             0.84952,             0.76178,             0.84474,               0.561,            0.040572,            0.028948,           0.0045991,            0.009538,            0.009538,            0.009538
                  16,            0.045994,            0.054363,           0.0098828,             0.80128,             0.76604,             0.82978,             0.53526,            0.043371,            0.029117,           0.0046746,            0.009505,            0.009505,            0.009505
                  17,            0.046749,            0.047988,            0.010319,             0.81532,             0.78225,             0.84131,             0.55184,            0.041133,            0.028539,           0.0042909,            0.009472,            0.009472,            0.009472
                  18,            0.044326,            0.048971,            0.011356,             0.83108,             0.73858,             0.82698,             0.53046,            0.041453,            0.029909,           0.0046672,            0.009439,            0.009439,            0.009439
                  19,            0.045633,            0.051394,            0.010265,             0.81687,             0.80618,             0.86814,             0.55272,              0.0388,            0.027956,             0.00403,            0.009406,            0.009406,            0.009406
                  20,            0.043861,            0.047944,            0.010154,             0.84063,             0.79734,             0.86357,             0.55425,            0.039933,            0.027571,           0.0040299,            0.009373,            0.009373,            0.009373
                  21,            0.043397,            0.051461,            0.010979,             0.82637,             0.78767,             0.85419,             0.55485,            0.042336,            0.027379,           0.0040421,             0.00934,             0.00934,             0.00934
                  22,            0.045969,            0.051477,           0.0088011,             0.82214,             0.80581,             0.87186,             0.55133,            0.040595,            0.027304,           0.0040187,            0.009307,            0.009307,            0.009307
                  23,            0.045548,            0.052362,           0.0097625,             0.79306,             0.83006,             0.86483,             0.55156,            0.040063,            0.028112,           0.0042567,            0.009274,            0.009274,            0.009274
                  24,            0.046548,             0.05193,           0.0087784,             0.81099,             0.81832,             0.87239,             0.55905,            0.039693,            0.027196,           0.0040582,            0.009241,            0.009241,            0.009241
                  25,            0.043086,            0.044915,            0.010034,             0.84597,             0.80964,             0.87594,             0.56927,            0.039652,            0.027159,           0.0038627,            0.009208,            0.009208,            0.009208
                  26,            0.044985,             0.05157,           0.0085606,             0.87303,              0.8081,             0.89112,             0.58701,            0.038714,            0.026844,            0.003719,            0.009175,            0.009175,            0.009175
                  27,            0.043081,            0.052132,           0.0082478,             0.86771,             0.80851,             0.88964,             0.58314,            0.039131,            0.026736,              0.0036,            0.009142,            0.009142,            0.009142
                  28,            0.044447,            0.047705,           0.0087206,             0.83598,             0.85133,             0.88929,             0.60193,            0.037974,            0.026449,           0.0036141,            0.009109,            0.009109,            0.009109
                  29,            0.042532,            0.046407,           0.0081689,             0.80926,             0.84631,             0.89028,             0.58533,            0.039422,            0.026577,           0.0037029,            0.009076,            0.009076,            0.009076
                  30,            0.043379,            0.043852,           0.0077155,             0.82801,             0.84981,              0.8941,             0.59029,            0.039439,            0.026163,           0.0035427,            0.009043,            0.009043,            0.009043
                  31,            0.044442,            0.043454,           0.0087061,             0.87364,             0.79073,             0.89274,             0.57514,            0.038818,            0.026408,           0.0036124,             0.00901,             0.00901,             0.00901
                  32,            0.043262,            0.054471,           0.0080323,             0.82958,             0.81654,             0.88394,             0.59691,            0.039527,            0.025882,           0.0035577,            0.008977,            0.008977,            0.008977
                  33,            0.043754,            0.045733,           0.0077387,             0.85943,             0.83106,             0.90114,             0.59777,            0.037848,            0.025717,           0.0035548,            0.008944,            0.008944,            0.008944
                  34,            0.042913,            0.050325,           0.0077483,             0.87506,             0.82327,             0.90328,             0.60076,            0.038197,            0.025933,           0.0033616,            0.008911,            0.008911,            0.008911
                  35,            0.040721,            0.042863,           0.0075161,             0.84998,             0.84288,              0.9063,             0.61778,            0.036245,            0.025375,             0.00323,            0.008878,            0.008878,            0.008878
                  36,            0.042464,            0.045518,           0.0077118,             0.89391,             0.83107,             0.90592,             0.59874,            0.038098,            0.025415,            0.003202,            0.008845,            0.008845,            0.008845
                  37,            0.043817,            0.053642,           0.0076625,             0.86141,             0.82866,             0.89125,             0.60384,            0.037222,             0.02498,           0.0032215,            0.008812,            0.008812,            0.008812
                  38,             0.04027,            0.044484,            0.007145,             0.87309,             0.83763,             0.89646,               0.603,            0.037919,            0.024714,           0.0031813,            0.008779,            0.008779,            0.008779
                  39,             0.04156,            0.042053,           0.0079299,             0.90177,             0.84304,             0.91747,                0.62,            0.035802,            0.024489,           0.0031173,            0.008746,            0.008746,            0.008746
                  40,            0.042776,             0.04652,            0.007903,             0.86302,             0.84415,             0.90183,             0.60973,             0.03683,            0.024541,           0.0031534,            0.008713,            0.008713,            0.008713
                  41,            0.042851,            0.045667,            0.007632,             0.86454,             0.84653,             0.90507,             0.63246,            0.035705,            0.024475,           0.0031414,             0.00868,             0.00868,             0.00868
                  42,            0.043785,            0.046473,           0.0070209,             0.85534,             0.85196,             0.90601,             0.61694,            0.037462,            0.024352,           0.0031106,            0.008647,            0.008647,            0.008647
                  43,            0.041955,            0.043973,           0.0075806,             0.84552,             0.84883,             0.89941,              0.6246,               0.037,            0.024609,           0.0031122,            0.008614,            0.008614,            0.008614
                  44,            0.040821,            0.042492,           0.0075291,             0.84594,             0.83996,             0.89298,             0.62334,            0.037355,            0.024481,           0.0032289,            0.008581,            0.008581,            0.008581
                  45,            0.042087,             0.04217,           0.0076911,             0.82771,             0.84551,             0.89535,             0.59751,            0.037253,            0.024512,           0.0032852,            0.008548,            0.008548,            0.008548
                  46,            0.041499,            0.042326,           0.0071919,             0.89259,             0.82178,             0.90778,             0.60632,            0.036517,            0.023965,           0.0032365,            0.008515,            0.008515,            0.008515
