               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.048301,            0.090532,             0.11854,             0.17162,            0.010579,            0.014606,            0.009458,            0.042238,            0.052046,             0.11823,              0.0937,              0.0007,              0.0007
                   1,            0.046803,            0.086956,             0.10265,            0.075296,            0.022947,            0.023231,            0.015624,            0.041651,            0.052362,             0.10392,            0.086495,            0.001495,            0.001495
                   2,            0.045089,            0.077687,             0.08839,            0.062938,            0.037869,            0.028539,            0.018487,            0.041544,            0.051994,            0.088619,            0.079285,           0.0022848,           0.0022848
                   3,            0.047876,            0.083585,            0.077169,             0.10225,            0.051229,            0.040064,            0.024054,            0.041634,            0.051241,            0.073509,            0.072069,           0.0030693,           0.0030693
                   4,            0.047179,            0.082191,            0.068777,               0.186,            0.060431,            0.057707,            0.034993,            0.041547,            0.050671,            0.062416,            0.064849,           0.0038485,           0.0038485
                   5,            0.046764,            0.082312,            0.060082,             0.20683,            0.087175,            0.091519,            0.051797,            0.043592,            0.049358,            0.052807,            0.057622,           0.0046225,           0.0046225
                   6,            0.049526,            0.068127,            0.052151,             0.25994,             0.11872,             0.12769,            0.056488,            0.048452,            0.047739,            0.045984,            0.050391,           0.0053911,           0.0053911
                   7,            0.052469,            0.075789,            0.046608,             0.20954,             0.24383,             0.18168,            0.095605,            0.044894,            0.046833,            0.039846,            0.043154,           0.0061545,           0.0061545
                   8,            0.052497,            0.076754,             0.04227,             0.46073,             0.21549,             0.23938,             0.13236,            0.045308,             0.04554,            0.034418,            0.035913,           0.0069126,           0.0069126
                   9,            0.050481,            0.073111,            0.037448,             0.51953,             0.24953,             0.26452,             0.12995,            0.048009,            0.044767,            0.030915,            0.028665,           0.0076654,           0.0076654
                  10,            0.051393,            0.076834,             0.03625,             0.55709,             0.30817,             0.34598,             0.20137,            0.045134,             0.04422,            0.027281,            0.021413,           0.0084129,           0.0084129
                  11,            0.051222,            0.074887,            0.033897,             0.74975,             0.31586,             0.38432,             0.22473,            0.045205,            0.043741,            0.025105,            0.014155,           0.0091552,           0.0091552
                  12,            0.051405,            0.072819,            0.033038,             0.67139,              0.3685,             0.41014,             0.23994,            0.047168,            0.043821,            0.022778,            0.009604,            0.009604,            0.009604
                  13,            0.049393,            0.075618,            0.028003,             0.72302,             0.38775,             0.46499,             0.28665,             0.04536,             0.04274,            0.020844,            0.009604,            0.009604,            0.009604
                  14,            0.050471,            0.071132,             0.02733,             0.72042,             0.44755,             0.51055,              0.3031,            0.042721,            0.041788,            0.018641,            0.009571,            0.009571,            0.009571
                  15,            0.047715,            0.064632,            0.025432,              0.7983,             0.45042,              0.5465,             0.32194,            0.043045,            0.041748,            0.017217,            0.009538,            0.009538,            0.009538
                  16,            0.047417,            0.071667,              0.0236,             0.79335,             0.50631,             0.58476,             0.35914,            0.043662,            0.041475,            0.016134,            0.009505,            0.009505,            0.009505
                  17,            0.048788,            0.069222,            0.022474,             0.79846,             0.49442,             0.59877,             0.35312,            0.044466,            0.041548,            0.015027,            0.009472,            0.009472,            0.009472
