               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.037582,            0.076374,             0.11776,             0.17208,            0.011569,            0.023046,            0.018043,            0.030556,            0.040833,             0.11491,              0.0937,              0.0007,              0.0007
                   1,            0.035688,            0.073273,             0.10028,            0.011898,             0.13228,            0.025394,            0.019757,            0.030091,            0.039474,            0.098511,            0.086495,            0.001495,            0.001495
                   2,            0.034371,            0.064435,            0.082865,            0.014456,             0.16805,            0.033163,            0.024406,            0.030266,            0.038664,            0.084053,            0.079285,           0.0022848,           0.0022848
                   3,            0.036105,             0.06922,            0.074657,             0.15501,            0.055651,            0.069471,            0.050704,            0.029832,            0.037554,             0.07003,            0.072069,           0.0030693,           0.0030693
                   4,             0.03556,            0.066569,             0.06571,             0.22855,            0.062061,            0.093687,            0.063154,            0.030796,            0.036602,              0.0592,            0.064849,           0.0038485,           0.0038485
                   5,            0.036655,            0.065867,            0.056789,             0.15514,             0.16116,             0.13204,            0.079101,            0.033339,            0.035765,            0.050055,            0.057622,           0.0046225,           0.0046225
                   6,            0.037657,            0.054682,             0.05009,             0.22948,             0.19404,             0.19227,             0.10385,            0.035406,             0.03548,            0.043385,            0.050391,           0.0053911,           0.0053911
                   7,            0.039867,             0.06035,            0.042321,             0.34996,             0.25051,             0.28392,              0.1855,            0.033824,            0.034301,            0.037344,            0.043154,           0.0061545,           0.0061545
                   8,            0.039337,            0.061247,            0.038214,             0.51261,             0.29056,             0.34725,              0.2394,            0.032076,            0.033153,            0.032003,            0.035913,           0.0069126,           0.0069126
                   9,            0.037673,             0.05806,            0.033314,             0.62498,             0.34406,             0.39275,             0.26529,            0.033766,            0.032552,            0.027779,            0.028665,           0.0076654,           0.0076654
                  10,            0.037019,            0.059904,            0.030577,             0.74519,             0.39981,             0.44424,             0.30243,            0.034147,            0.032752,            0.023435,            0.021413,           0.0084129,           0.0084129
                  11,            0.038939,             0.05938,            0.027539,             0.73459,             0.45134,             0.49231,             0.34091,            0.033621,            0.032035,             0.02085,            0.014155,           0.0091552,           0.0091552
                  12,            0.038922,            0.055897,             0.02725,             0.77165,             0.48026,             0.52896,               0.357,            0.036338,            0.032109,            0.018548,            0.009604,            0.009604,            0.009604
                  13,            0.037344,            0.057208,            0.023288,             0.85429,             0.51329,             0.59341,             0.41259,            0.033647,            0.031075,            0.016599,            0.009604,            0.009604,            0.009604
                  14,             0.03773,            0.054842,            0.023142,             0.86139,              0.5258,             0.62249,             0.43166,            0.033552,            0.029875,            0.014986,            0.009571,            0.009571,            0.009571
                  15,            0.036646,            0.049608,            0.020178,             0.74657,             0.61565,             0.67733,             0.46799,            0.033051,            0.030349,            0.013752,            0.009538,            0.009538,            0.009538
                  16,            0.036933,            0.054727,            0.018376,             0.83075,             0.64384,             0.70843,             0.50416,            0.034053,            0.030059,            0.012914,            0.009505,            0.009505,            0.009505
                  17,            0.037309,             0.05274,            0.018335,             0.86783,             0.63617,             0.74525,             0.51518,            0.032189,             0.02939,            0.011887,            0.009472,            0.009472,            0.009472
                  18,            0.036813,            0.054095,            0.015847,              0.8439,             0.69345,              0.7682,             0.51763,            0.033838,            0.029053,            0.010937,            0.009439,            0.009439,            0.009439
                  19,            0.035944,            0.047721,            0.016419,             0.89994,             0.66243,             0.77321,             0.51255,            0.035372,            0.028889,            0.010026,            0.009406,            0.009406,            0.009406
                  20,            0.037931,            0.050814,            0.014979,             0.89087,             0.68209,             0.80278,             0.54367,            0.033226,            0.028371,           0.0092835,            0.009373,            0.009373,            0.009373
                  21,            0.036709,            0.048579,            0.015103,             0.87817,             0.70684,             0.82409,             0.58486,            0.031561,            0.027496,           0.0088418,             0.00934,             0.00934,             0.00934
                  22,            0.035953,            0.051161,            0.013788,             0.85917,             0.75947,             0.84353,             0.59248,            0.031722,            0.027736,           0.0083284,            0.009307,            0.009307,            0.009307
                  23,            0.034301,            0.047674,             0.01347,             0.82679,             0.78394,             0.85629,             0.61863,            0.032059,            0.027617,           0.0077143,            0.009274,            0.009274,            0.009274
                  24,            0.036984,            0.048839,            0.013479,              0.8509,             0.79287,             0.86237,              0.6171,            0.030215,            0.026769,           0.0072827,            0.009241,            0.009241,            0.009241
                  25,            0.033373,            0.043496,            0.011333,             0.86805,             0.80087,             0.87839,             0.63898,            0.031753,            0.027471,           0.0069249,            0.009208,            0.009208,            0.009208
                  26,            0.034449,            0.046376,            0.011847,             0.84872,             0.80961,             0.87438,             0.63089,            0.031123,            0.026938,           0.0066278,            0.009175,            0.009175,            0.009175
                  27,            0.035411,            0.047513,            0.011138,             0.86055,             0.81333,             0.88819,              0.6391,            0.031707,            0.027004,           0.0061975,            0.009142,            0.009142,            0.009142
                  28,            0.035534,             0.05245,            0.010787,             0.83992,             0.85416,             0.91845,             0.68332,            0.030038,            0.026366,           0.0059021,            0.009109,            0.009109,            0.009109
                  29,            0.034297,            0.043031,            0.010732,             0.84961,             0.84492,             0.91754,             0.67855,            0.030842,            0.026646,           0.0057354,            0.009076,            0.009076,            0.009076
                  30,            0.033908,            0.049483,           0.0088925,             0.86081,             0.87054,             0.92595,              0.6799,            0.030505,            0.026667,           0.0055621,            0.009043,            0.009043,            0.009043
                  31,            0.033696,            0.048165,           0.0099177,             0.87653,             0.86686,             0.93461,             0.72057,            0.028923,            0.026131,           0.0053331,             0.00901,             0.00901,             0.00901
