               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.036407,            0.071953,            0.097374,            0.039457,            0.040974,            0.044911,            0.031535,            0.031851,            0.045847,            0.077104,              0.0721,              0.0031,              0.0031
                   1,            0.038969,            0.069688,            0.060826,             0.14659,              0.1555,             0.14901,            0.076747,            0.038475,            0.044907,            0.047309,            0.043279,           0.0062792,           0.0062792
                   2,            0.040804,            0.064826,             0.04284,             0.52573,             0.36497,             0.39978,             0.24861,            0.037467,            0.043195,            0.028469,            0.014437,           0.0094373,           0.0094373
                   3,             0.04156,             0.06394,            0.029046,             0.75328,             0.48093,              0.5507,             0.34427,            0.037652,            0.042303,            0.018471,            0.009901,            0.009901,            0.009901
                   4,            0.040171,            0.063549,            0.021513,             0.82153,             0.56418,             0.62647,             0.41092,            0.035421,             0.04225,            0.014199,            0.009901,            0.009901,            0.009901
                   5,             0.04013,            0.063596,            0.019899,             0.84188,             0.59907,             0.69178,             0.46435,            0.034664,            0.040615,            0.011633,            0.009868,            0.009868,            0.009868
                   6,            0.038472,            0.061103,            0.016173,             0.84674,             0.64517,              0.7448,             0.50309,            0.035057,            0.039847,           0.0098476,            0.009835,            0.009835,            0.009835
                   7,            0.038148,            0.062157,            0.015333,             0.88285,             0.67255,             0.77212,             0.53117,            0.033797,             0.03921,            0.008711,            0.009802,            0.009802,            0.009802
                   8,            0.038236,            0.058234,            0.013735,             0.87742,             0.70498,              0.8004,             0.54416,            0.033232,            0.039807,           0.0079021,            0.009769,            0.009769,            0.009769
                   9,            0.037154,            0.060795,            0.013242,             0.89484,             0.71891,             0.81169,             0.56441,             0.03219,            0.038074,           0.0072591,            0.009736,            0.009736,            0.009736
                  10,            0.037001,            0.061488,            0.012459,             0.87622,             0.75579,              0.8277,             0.57287,            0.032774,            0.037553,           0.0067346,            0.009703,            0.009703,            0.009703
                  11,            0.038058,            0.058993,            0.012111,             0.89947,             0.73703,             0.85137,             0.60086,            0.031355,            0.037699,           0.0065528,             0.00967,             0.00967,             0.00967
                  12,            0.035902,            0.057804,            0.011559,             0.87354,             0.78388,             0.86054,             0.59969,            0.031887,            0.036454,            0.006068,            0.009637,            0.009637,            0.009637
                  13,            0.036086,            0.059447,            0.010853,              0.8478,             0.81757,             0.86887,             0.60523,            0.030549,            0.035548,           0.0056797,            0.009604,            0.009604,            0.009604
                  14,            0.036279,            0.055889,            0.010717,              0.8961,             0.79144,             0.86877,             0.62154,            0.030817,            0.034853,           0.0054189,            0.009571,            0.009571,            0.009571
                  15,            0.035537,            0.059764,            0.010622,             0.86868,             0.82585,             0.87304,             0.62196,            0.031397,            0.034466,           0.0050214,            0.009538,            0.009538,            0.009538
                  16,             0.03566,            0.057066,            0.010398,               0.879,             0.80867,             0.88305,             0.59773,            0.032269,             0.03521,           0.0048797,            0.009505,            0.009505,            0.009505
                  17,            0.036022,            0.055018,           0.0097927,             0.88058,             0.82633,             0.88167,             0.61981,            0.031155,            0.034587,           0.0048587,            0.009472,            0.009472,            0.009472
                  18,            0.035263,            0.055583,           0.0097043,             0.90183,             0.83971,             0.89205,             0.62142,            0.030273,            0.033962,           0.0045222,            0.009439,            0.009439,            0.009439
                  19,            0.035472,             0.05658,           0.0093875,             0.90206,             0.82787,             0.88807,             0.61216,            0.031624,            0.034239,           0.0045813,            0.009406,            0.009406,            0.009406
                  20,             0.03532,            0.055109,           0.0091035,             0.89833,              0.8445,             0.90515,             0.65243,             0.02868,            0.032738,           0.0043472,            0.009373,            0.009373,            0.009373
                  21,            0.035129,            0.056049,           0.0096971,             0.90696,             0.83979,             0.90873,             0.65253,            0.030154,            0.033065,           0.0041782,             0.00934,             0.00934,             0.00934
                  22,            0.034717,            0.056163,            0.009313,             0.91506,             0.85046,             0.91649,             0.65562,            0.029332,            0.032543,           0.0040305,            0.009307,            0.009307,            0.009307
